date,confirmed,deaths,recovered,new confirmed cases,new deaths,new recoveries,active cases,tests,movement restriction,information politics
2020-1-22,0,0,0,0,0,0,0,0,0,0
2020-1-23,0,0,0,0,0,0,0,0,0,0
2020-1-24,0,0,0,0,0,0,0,0,0,0
2020-1-25,0,0,0,0,0,0,0,0,0,0
2020-1-26,0,0,0,0,0,0,0,0,0,0
2020-1-27,0,0,0,0,0,0,0,0,0,0
2020-1-28,0,0,0,0,0,0,0,0,0,0
2020-1-29,0,0,0,0,0,0,0,0,0,0
2020-1-30,0,0,0,0,0,0,0,0,0,0
2020-1-31,0,0,0,0,0,0,0,0,0,0
2020-2-1,0,0,0,0,0,0,0,0,0,0
2020-2-2,0,0,0,0,0,0,0,0,0,0
2020-2-3,0,0,0,0,0,0,0,0,0,0
2020-2-4,0,0,0,0,0,0,0,0,0,0
2020-2-5,0,0,0,0,0,0,0,0,0,0
2020-2-6,0,0,0,0,0,0,0,0,0,0
2020-2-7,0,0,0,0,0,0,0,0,0,0
2020-2-8,0,0,0,0,0,0,0,0,0,0
2020-2-9,0,0,0,0,0,0,0,0,0,0
2020-2-10,0,0,0,0,0,0,0,0,0,0
2020-2-11,0,0,0,0,0,0,0,0,0,0
2020-2-12,0,0,0,0,0,0,0,0,0,0
2020-2-13,0,0,0,0,0,0,0,0,0,0
2020-2-14,0,0,0,0,0,0,0,0,0,0
2020-2-15,0,0,0,0,0,0,0,0,0,0
2020-2-16,0,0,0,0,0,0,0,0,0,0
2020-2-17,0,0,0,0,0,0,0,0,0,0
2020-2-18,0,0,0,0,0,0,0,0,0,0
2020-2-19,0,0,0,0,0,0,0,0,0,0
2020-2-20,0,0,0,0,0,0,0,0,0,0
2020-2-21,0,0,0,0,0,0,0,0,0,0
2020-2-22,0,0,0,0,0,0,0,0,0,0
2020-2-23,0,0,0,0,0,0,0,0,0,0
2020-2-24,0,0,0,0,0,0,0,0,0,0
2020-2-25,0,0,0,0,0,0,0,0,0,0
2020-2-26,0,0,0,0,0,0,0,0,0,0
2020-2-27,0,0,0,0,0,0,0,0,0,0
2020-2-28,0,0,0,0,0,0,0,0,0,0
2020-2-29,0,0,0,0,0,0,0,0,0,0
2020-3-1,0,0,0,0,0,0,0,0,0,0
2020-3-2,0,0,0,0,0,0,0,0,0,0
2020-3-3,0,0,0,0,0,0,0,0,0,0
2020-3-4,1,0,0,1,0,0,1,0,0,0
2020-3-5,1,0,0,0,0,0,1,0,0,0
2020-3-6,5,0,0,4,0,0,5,0,0,0
2020-3-7,5,0,0,0,0,0,5,0,0,1
2020-3-8,11,0,0,6,0,0,11,0,0,1
2020-3-9,16,0,0,5,0,0,16,0,0,1
